Word,Polarity,Intensity,SubjectivityType,SubjectivityPolarity
나;는;내,NEG,Medium,Argument,POS
나;고액;과외,POS,Low,Judgment,POS
나;석가모니;는,NEUT,Medium,Argument,POS
나;차이;가,NEG,Medium,Judgment,NEG
난;수;퍼,POS,Medium,Argument,POS
나;는;그,NEG,Medium,Argument,POS
나;는;남산,POS,Low,Argument,POS
나;는;살림,NEG,Medium,Argument,POS
나;는;이,NEG,Medium,Argument,POS
나;는;자라,NEG,Medium,Argument,POS
나;는;한문학,NEG,Medium,Argument,POS
나;에게;현실,COMP,Medium,Argument,POS
나;의;결심,NEG,Medium,Argument,POS
나;의;껍질,NEG,Medium,Judgment,NEG
나;의;마음,POS,Medium,Judgment,POS
나;의;손,POS,Medium,Argument,POS
나;의;피,NEG,Medium,Argument,POS
나;니까;오히려,POS,Medium,Argument,POS
나가지;못;하,POS,Medium,Intention,POS
나귀;도;성지,NEG,Low,Judgment,NEG
나라;의;시간,NEG,Medium,Argument,POS
나라;의;자동차,POS,Low,Argument,POS
나름;대로;개성,POS,Medium,Judgment,POS
나름;대로;정리,POS,Medium,Argument,POS
나름;대로;제대로,POS,Medium,Judgment,POS
나무;무늬;로,NEG,High,Judgment,NEG
나무;와;채소,POS,Medium,Judgment,POS
나비;가;되,NEUT,Medium,Argument,NEUT
나비;와;뭇,NEUT,Low,Argument,POS
나비;의;길이,NEG,Medium,Judgment,NEG
나오아;야;하,POS,Medium,Argument,POS
나이;를;되찾,POS,Low,Judgment,POS
나이;먹는;다,POS,Medium,Argument,POS
나이;서른;에,COMP,Medium,Speculation,POS
나이;의;사람,NEG,Medium,Argument,POS
나중;에;현악,POS,Medium,Argument,POS
날;의;높,COMP,Medium,Speculation,POS
날;이;없,NEG,Medium,Judgment,NEG
남;과;달리,POS,Medium,Judgment,POS
남;에게;의심,NEG,Medium,Judgment,NEG
남;이;흉내,NEG,Medium,Judgment,NEG
남;미풍;의,POS,Medium,Judgment,POS
남방;교류;설,NEUT,Medium,Argument,POS
남자;도;결혼,NEG,High,Argument,POS
남자;사원;에,NEG,Medium,Judgment,NEG
남편;수입;관계,POS,Low,Argument,POS
남편;은;떠나,NEG,Medium,Argument,POS
남한;은;북한,POS,Medium,Argument,POS
낫;은;편,POS,Medium,Judgment,POS
내;가;그,NEG,High,Argument,POS
내;가속;하,NEG,Medium,Argument,POS
내;가장;주,NEUT,Medium,Argument,NEUT
내내;제자리;를,NEG,Medium,Judgment,NEG
내년;한국;진출,POS,Medium,Argument,POS
내;맘;이,POS,Medium,Emotion,POS
내밀;어;입술,NEG,Medium,Argument,POS
내부;를;찢,NEG,High,Emotion,NEG
내;성;을,POS,Medium,Judgment,POS
내용;들;이,POS,High,Judgment,POS
내;용이;많,NEG,Medium,Judgment,NEG
내;용이;충실,POS,Medium,Judgment,POS
내용물;이;쉽,POS,Low,Judgment,POS
냉소;적;이,NEG,Medium,Judgment,NEG
냐;는;말,NEG,Medium,Argument,POS
너무;소극;적,NEG,High,Judgment,NEG
너무;애;닯,COMP,Medium,Emotion,NEG
너무;푼;수,NEG,Low,Judgment,NEG
너무나;당;연,NEUT,High,Agreement,POS
너무나;도;엉터리,NEG,High,Judgment,NEG
너무나;말;이,NEG,High,Judgment,NEG
너희;들;의,POS,Medium,Argument,POS
너희;들;이,NEG,Medium,Argument,POS
넓은;공감;대,POS,Medium,Argument,POS
넘기;고;나,POS,Medium,Argument,POS
넘어서;었;고,POS,Low,Argument,POS
넘어서;었;습니다,POS,Low,Argument,POS
네;같아;익,POS,Medium,Argument,POS
년사;용;하,NEUT,Low,Argument,POS
년;어느;한,NEG,Low,Argument,POS
년;에;한,POS,Medium,Argument,POS
년;을;나름,POS,Medium,Argument,POS
년;이;흐르,NEG,Medium,Argument,POS
년;정도;늦,NEG,Medium,Judgment,NEG
년;째;흥행,POS,Medium,Judgment,POS
년;하도;록,NEG,Medium,Argument,POS
년대;적;경직,POS,Medium,Judgment,POS
노래;를;부르,NEUT,Low,Argument,POS
노래;연습;하,POS,Medium,Judgment,POS
노;려;보,NEG,Medium,Argument,POS
노;려;보고,NEG,Medium,Argument,POS
노력;을;하,POS,High,Intention,POS
노력;이;있,POS,Medium,Intention,POS
노면;에;정지선,NEG,Medium,Judgment,NEG
노예;가;되,NEG,Medium,Judgment,NEG
녹아;내;리,POS,Medium,Emotion,POS
논란;을;일으키,NEG,Medium,Judgment,NEG
논란;이;있,NEG,Medium,Judgment,NEG
논리;가;맞,NEG,Medium,Agreement,NEG
논쟁;점;을,POS,Medium,Argument,POS
논점;이;되,COMP,Medium,Judgment,NEUT
놈;들;을,NEG,Medium,Argument,POS
농법;을;개선,POS,Medium,Argument,POS
농업;의;지배,NEG,Medium,Judgment,NEG
높은;인;기,POS,High,Judgment,POS
높이;평가;하,POS,High,Judgment,POS
놓;고;공연,NEG,Medium,Judgment,NEG
놓;고;있,POS,Medium,Intention,POS
놓;고;휴식,NEG,Medium,Argument,POS
놓;아야;겠,NEUT,Medium,Argument,POS
놓;았;네,NEG,Medium,Argument,POS
놓;을;수,POS,High,Judgment,POS
누구;도;사랑,NEG,Medium,Argument,POS
누;설;하,NEG,Medium,Judgment,NEG
누;아르;의,POS,Medium,Judgment,POS
누;아르;의정서,POS,Medium,Judgment,POS
눈;에;들어오,POS,Medium,Judgment,POS
눈;에;띄,POS,Medium,Judgment,POS
눈;에;엿보,POS,Low,Judgment,POS
눈;에;잡히,POS,Medium,Judgment,POS
눈;으로;밤,COMP,Medium,Judgment,COMP
눈;을;돌리,NEG,Medium,Judgment,NEG
눈;이;우리,NEG,Medium,Argument,POS
눈길;을;끌,POS,Medium,Judgment,POS
눈길;을;모으,POS,Medium,Judgment,POS
눈물;이;고이,NEG,Medium,Emotion,NEG
눈물;이;흐르,NEG,Medium,Argument,POS
눈부시;게;아름답,POS,High,Judgment,POS
눈;여겨;보,POS,Medium,Judgment,POS
눈치;만;보,NEG,Medium,Judgment,NEG
뉴스;를;나,POS,Medium,Argument,POS
느낌;에;따르,POS,Medium,Argument,POS
느낌;이나;생각,POS,Medium,Argument,POS
느냐;고;못,NEG,Medium,Argument,POS
느냐;고;스스로,POS,Medium,Argument,POS
는;모습;한,NEG,Medium,Argument,POS
는가;장;크,NEG,Medium,Judgment,NEG
는;강물;위,NEG,Medium,Argument,POS
는;것;같,NEG,Medium,Judgment,POS
는;것;과,NEG,Medium,Judgment,NEG
는;것;도,NEG,Medium,Argument,POS
는;것;때문,NEG,Medium,Argument,POS
는;것;만,POS,High,Emotion,POS
는;것;보다,POS,Medium,Argument,POS
는;것;은,NEUT,Medium,Argument,POS
는;것;을,NEG,Medium,Argument,POS
는;것;이,NONE,None,Argument,POS
는;결여;의,NEG,Low,Argument,POS
는;경우;가,NEG,Medium,Judgment,NEG
는고;도;를,COMP,Medium,Argument,POS
는;곳;에서,POS,Medium,Argument,POS
는;곳;이,NEG,Medium,Argument,POS
는;구태;를,NEG,Medium,Judgment,NEG
는;국내;이벤트,POS,Medium,Judgment,POS
는;군도;이,NEG,Medium,Argument,POS
는;그림;들,NEG,Medium,Argument,POS
는;그;분,NEG,Medium,Argument,POS
는;기회;가,POS,High,Judgment,POS
는;꿀;혼자,NEG,Medium,Argument,POS
는;눈치;들,NEG,Low,Judgment,NEG
는;데;적당,POS,Medium,Judgment,POS
는;데;필요,POS,Medium,Judgment,POS
는;동물;을,NEUT,Medium,Argument,POS
는;동안;오른,POS,Low,Argument,POS
는;레크리에이션;이벤트,POS,Medium,Judgment,POS
는;마음;을,POS,Medium,Argument,POS
는;모든;아이,POS,Medium,Argument,POS
는;무극;같,POS,Medium,Judgment,POS
는;문;들,NEUT,Medium,Argument,POS
는;물건;은,POS,Medium,Judgment,POS
는;미화원;이,POS,Medium,Argument,POS
는;바람;에,NONE,None,Others,POS
는;방법;을,NEG,Medium,Judgment,NEG
는;배타;적,NEG,Medium,Argument,POS
는;버팀목;이,POS,Medium,Argument,POS
는;별빛;이,POS,Medium,Judgment,POS
는;분;들,NEG,Medium,Argument,POS
는;분;이,POS,Medium,Judgment,POS
는;사람;은,NEG,Medium,Judgment,NEG
는;사람;이,NEG,Medium,Argument,POS
는;사슬;도,POS,Medium,Argument,POS
는;생각;에서,POS,Medium,Speculation,POS
는;셈;이,POS,Medium,Speculation,POS
는;소위;발전,NEG,Medium,Argument,POS
는;시;기,NEG,Medium,Argument,POS
는;시기;가,NEG,Medium,Argument,POS
는;시약;을,NEG,Medium,Argument,POS
는;양상;을,NEG,Low,Judgment,NEG
는;어린이;들,NEUT,Low,Argument,POS
는;옛;말씀,POS,Medium,Judgment,POS
는;오늘날;거대,COMP,Medium,Argument,POS
는;우;리,POS,Medium,Argument,POS
는;위기;감,NEG,High,Emotion,NEG
는;의;구심,NEG,High,Judgment,NEG
는;인생;은,NEG,Medium,Argument,POS
는;적막;에서,NEG,Low,Argument,POS
는;증상;은,NEG,Low,Argument,POS
는;쪽;으로,NEG,Medium,Argument,POS
는;책;으로,POS,Medium,Judgment,POS
는;책;이,NEUT,Medium,Judgment,NEUT
는;철;이,NEG,Medium,Emotion,NEG
는;철;이를,NEG,Medium,Emotion,NEG
는;초;미,COMP,High,Judgment,COMP
는;터번;은,POS,Low,Argument,POS
는;통로;이,POS,Medium,Argument,POS
는;한;요인,POS,Medium,Judgment,POS
는;행동;만,NEG,Low,Judgment,NEG
는;형편;이,NEG,Medium,Judgment,NEG
는;호박고지;떡,POS,Medium,Argument,POS
는;호전;적,NEG,Medium,Judgment,NEG
는;환상;적,POS,High,Judgment,POS
는가;장;널리,POS,Medium,Judgment,POS
는;결혼;전,NEUT,Low,Argument,POS
는;그;에게,NEG,Medium,Argument,POS
는;깎아;지르,NEG,Medium,Argument,POS
는;깎아;지른,NEG,Medium,Argument,POS
는;남산;으로,POS,Low,Argument,POS
는;남편;이,NEG,Low,Argument,POS
는;내;가,NEG,Medium,Argument,POS
는;말;은,NEG,Medium,Argument,POS
는;못;하,NEG,Low,Judgment,NEG
는;별반;달라지,POS,Low,Judgment,POS
는;사람;들,NEG,Medium,Argument,POS
는;살;아,POS,Medium,Argument,POS
는;습기;가,POS,Medium,Argument,POS
는;아직;자리,NEG,Medium,Argument,POS
는;안;되,NEG,High,Judgment,NEUT
는;어;디,NEG,Medium,Argument,POS
는;어디;로,NEG,Medium,Argument,POS
는;어떤;남자,NEG,Medium,Argument,POS
는;어떤;여자,NEG,Medium,Argument,POS
는;어;리,NEG,Medium,Argument,POS
는;없;나요,NEG,Medium,Argument,POS
는;없으;나,POS,Medium,Argument,POS
는;욕망;을,NEG,Low,Argument,POS
는;이;시집,NEG,Medium,Argument,POS
는;이미;동료,POS,Medium,Argument,POS
는;이;전,POS,Medium,Argument,POS
는;자라;았,NEG,Medium,Argument,POS
는;저지르;어라,POS,Medium,Argument,POS
는;제;치어,POS,Medium,Argument,POS
는;종교인;이,NEUT,Medium,Argument,POS
는;처음;으로,POS,Medium,Judgment,POS
는;치유;를,POS,Low,Argument,POS
는;하;았,NEG,Low,Argument,POS
는;하;지만,NONE,None,Others,POS
는;한문학;을,NEG,Medium,Argument,POS
는;햇곡식;으로,POS,Medium,Argument,POS
는;혀;내밀,NEG,Medium,Argument,POS
는;호박;말리,POS,Medium,Argument,POS
는;다면;폐렴,POS,Low,Argument,POS
는;데;배,POS,Medium,Argument,POS
는;데;어떤,POS,Medium,Intention,POS
는;지도;모르,NONE,None,Others,POS
는;지를;알,POS,High,Judgment,POS
는;지;알,NEUT,Medium,Argument,NEUT
는;지;여부,NEG,Medium,Judgment,NEG
는;지;좀,POS,Medium,Argument,POS
는;지;좀더,POS,Medium,Argument,POS
늘;고;있,NEG,Medium,Judgment,NEG
능력;은;있,POS,Low,Judgment,POS
능욕;과;폭행,NEG,Medium,Judgment,NEG
니까;오히려;건강,POS,Medium,Argument,POS
다;들;그러,POS,Medium,Argument,POS
다;울;다,COMP,Medium,Emotion,COMP
다;하아;도,NEG,Medium,Argument,POS
다;과거;로,POS,Medium,Argument,POS
다;그런;것,NONE,None,Others,POS
다;바치;마,POS,Medium,Argument,POS
다가;꿀통;하나,NEG,Medium,Argument,POS
다가가려;고;하,POS,Medium,Argument,POS
다각;적;이,POS,Medium,Judgment,POS
다각도;의;노력,POS,High,Intention,POS
다;고;그러,NEG,Medium,Argument,POS
다;고;마음먹,NEUT,Low,Argument,POS
다;고;말,NEG,Medium,Argument,POS
다;고;발표,NEUT,Medium,Argument,POS
다;고;밝히,POS,Medium,Argument,POS
다;고;보았,NEG,Medium,Argument,POS
다;고;볼,POS,Medium,Speculation,POS
다;고;비판,NEG,Medium,Judgment,NEG
다;고비;판하,NEG,Medium,Judgment,NEG
다;고;생각,NEG,Low,Argument,POS
다;고생;각하,NEG,Low,Argument,POS
다;고;선언,POS,Medium,Argument,POS
다;고;여기,POS,Medium,Argument,POS
다;고지;적,NEG,High,Argument,POS
다;고지;적하,NEG,High,Argument,POS
다;고;판단,NEUT,Medium,Judgment,NEUT
다;고;할,NONE,None,Judgment,POS
다는;감;이,POS,Medium,Emotion,POS
다는;것;이,NONE,None,Argument,POS
다는;계획;을,POS,Medium,Argument,POS
다는;꿈;을,POS,Medium,Argument,POS
다는;뜻;이,POS,Medium,Intention,POS
다는;말;이,NEG,High,Emotion,NEUT
다는;보람;도,POS,Medium,Argument,POS
다는;생각;이,NEG,Low,Argument,POS
다는;소리;를,NEG,Medium,Argument,POS
다는;욕심;에서,NEG,Low,Argument,POS
다는;점;이,NONE,None,Judgment,POS
다는;지적;이,NEG,Medium,Argument,POS
다는;칭찬;을,NEG,Medium,Argument,POS
다는;데;작,POS,Medium,Argument,POS
다는;데;작은,POS,Medium,Argument,POS
다르;게;뜨겁,NEUT,Medium,Judgment,POS
다르;아;지,POS,High,Judgment,POS
다르;지;않,NEG,Low,Judgment,NEG
다른;건물;형식,NEG,High,Argument,POS
다른;곳;에,POS,High,Emotion,POS
다른;모습;으로,POS,Medium,Judgment,POS
다른;이름;이,NEUT,Medium,Judgment,POS
다른;재미;로,POS,Medium,Judgment,POS
다리;를;드러내,NEG,Low,Judgment,NEG
다;면;자본주의,NEG,Low,Argument,POS
다소;황;당하,NEG,Medium,Judgment,NEG
다시;말;하,NONE,None,Others,POS
다시;복습;하,POS,Medium,Argument,POS
다시;새롭;게,POS,Medium,Argument,POS
다시;시작;하,POS,Medium,Judgment,POS
다시;처음;으로,NEG,Medium,Argument,POS
다시금;절감;하,POS,High,Judgment,POS
다지;고;해외,POS,Medium,Argument,POS
다툼;과;고통,NEG,Medium,Judgment,NEG
단맛;을;내,POS,Medium,Argument,POS
단;적;으로,POS,High,Judgment,POS
단절;은;골,NEG,Medium,Argument,POS
단점;이;있,NEG,High,Judgment,NEG
단지;에;넣,NEG,Medium,Argument,POS
단체;가;아니,NEG,Medium,Judgment,NEG
달;갑;잖,NEG,Medium,Judgment,NEG
달구;는;무극,POS,Medium,Judgment,POS
달라지;고;있,POS,Medium,Judgment,POS
달러;에;이르,POS,Medium,Judgment,POS
달력;공장;공장장,NEG,Medium,Argument,POS
달리;설명;이,NONE,None,Others,POS
달빛;에;눈,POS,Medium,Judgment,POS
담도;록;대사,NEUT,Low,Argument,POS
담;을;수,NEG,High,Argument,POS
담;담;히,POS,Low,Emotion,NEUT
당국;에;밀고,NEG,Medium,Judgment,NEG
대;들;의,POS,Medium,Judgment,POS
대;를;넘어서,POS,Low,Argument,POS
댄;다고;용인,NEG,Medium,Judgment,NEG
대단히;바람;직,NEG,High,Judgment,NEG
대로;개성;있,POS,Medium,Judgment,POS
대로;구;경하,POS,Medium,Argument,POS
대로;정;리하,POS,Medium,Argument,POS
대로;제대로;정착,POS,Medium,Judgment,POS
대;로나;는,NEG,Medium,Argument,POS
대사;부분;을,NEUT,Low,Argument,POS
대상;이;되,NEG,Medium,Judgment,NEG
대여;쪽;만,NEG,Medium,Argument,POS
대조;를;이루,NEUT,Medium,Argument,POS
대지;를;상징,POS,Medium,Intention,POS
대표;적;이,POS,Medium,Argument,POS
대하;아;관심,POS,Low,Argument,POS
대하;아;상의,POS,Low,Argument,POS
대;하;아서,NEG,Low,Judgment,NEG
대;하;아선,NEG,Low,Judgment,NEG
대형;인기;작,POS,High,Judgment,POS
더;가까이;다가가,POS,Medium,Judgment,POS
더;미숙;하,POS,Medium,Judgment,POS
더;인간;답,POS,High,Judgment,POS
더;지;니,POS,Medium,Argument,POS
더;하;아,POS,Medium,Judgment,POS
더;활짝;열리,POS,Low,Argument,POS
더라도;못;갚,POS,High,Judgment,POS
더욱;강화;하,NEG,Medium,Judgment,NEG
더욱;막;중하,COMP,Medium,Judgment,POS
더욱;심화;하,NEG,High,Judgment,NEG
더욱;아;연하,NEG,High,Emotion,NEG
더욱;어렵;게,NEG,Medium,Judgment,NEG
더욱;열;을,POS,Medium,Intention,POS
던;것;같,NEUT,Medium,Argument,POS
던;것;로,NEUT,Medium,Speculation,POS
던;것;이,NONE,None,Others,POS
던;과거;의,NEG,Low,Judgment,NEG
던;디자이너;일,NEUT,Low,Argument,POS
던;사항;이,POS,Medium,Argument,POS
던;생활;에,NEG,Low,Argument,POS
던;시절;은,NEG,Medium,Argument,POS
던;유학;시절,POS,Medium,Argument,POS
던;충격;이,NEG,High,Emotion,NEG
던지;던;시절,NEG,Medium,Argument,POS
데;도;익숙,POS,Medium,Argument,POS
데;없이;추락,NEG,High,Judgment,NEG
데리;고;먹,NEG,Medium,Argument,POS
도;결혼;도,NEG,High,Argument,POS
도;경제;제재,POS,Medium,Argument,POS
도;그;사람,POS,Low,Argument,POS
도;깎았;었,NEG,Low,Argument,POS
도;더욱;심화,NEG,High,Judgment,NEG
도;떨어지;지,POS,High,Judgment,POS
도;똑바로;되,NEG,High,Argument,POS
도;모르;게,NEG,Low,Intention,NEG
도;모르;겠,NONE,None,Speculation,POS
도;모르니;까,NONE,None,Others,POS
도;무겁;어,POS,High,Judgment,POS
도;문제;투성이,NEG,High,Argument,POS
도;물론;안,NEG,Low,Argument,POS
도;반드시;비,NEUT,Medium,Argument,POS
도;불구;하,NONE,None,Judgment,POS
도사;랑;하,NEG,Medium,Argument,POS
도;성지;에,NEG,Low,Judgment,NEG
도;소변;검사,NEG,Medium,Argument,POS
도;써;먹,NEG,High,Argument,POS
도;써;먹지,NEG,High,Argument,POS
도아;니;라니까,NEG,Medium,Argument,POS
도;아마;그때,POS,Medium,Argument,POS
도;없으;시,NEG,Medium,Argument,POS
도;엉터리;이,NEG,High,Judgment,NEG
도;여성;채용,NEG,Medium,Argument,POS
도;역행;하,NEG,Medium,Judgment,NEG
도;있;을,NONE,None,Speculation,POS
도;자;주하,POS,Low,Argument,POS
도;저;의,NEG,Medium,Argument,POS
도;저;것,NEG,High,Argument,POS
도;하나;의,POS,Medium,Argument,POS
도현;란;하,POS,High,Judgment,POS
도;가;크,POS,High,Judgment,POS
도록;대사;부분,NEUT,Low,Argument,POS
도록;얘기;꽃,POS,High,Emotion,POS
도록;운;항하,NEG,Medium,Argument,POS
도록;촉구;하,COMP,Medium,Argument,POS
도마;에;오르,NEG,Medium,Judgment,NEG
도망치어;나;오,NEG,Medium,Judgment,NEG
도시;풍경;을,POS,Medium,Judgment,POS
도약;을;시도,POS,Medium,Judgment,POS
도와주십;시;오,POS,Medium,Intention,POS
도움;을;받,POS,Medium,Judgment,POS
도움;을;주,POS,Medium,Judgment,POS
도움;이;되,POS,Medium,Judgment,POS
도의;적;책임,NEG,High,Judgment,NEG
도입;으로;저,POS,Medium,Argument,POS
도저히;거;부하,NEG,High,Agreement,POS
도전;으로;파악,NEG,Medium,Judgment,NEG
도처;에;과거,NEUT,Medium,Argument,POS
독립;투사;이,NEG,Medium,Judgment,NEG
독서;후;활동,POS,Medium,Judgment,POS
독설;적;이,NEG,High,Judgment,NEG
독점;에;맞서,NEG,Medium,Argument,POS
돈;얼마;받,NEG,Medium,Argument,POS
돌;을;던지,NEG,Medium,Argument,POS
돌더;라도;못,POS,High,Judgment,POS
돌아;앉아;한,NEG,Medium,Argument,POS
동료;상담;이,POS,Medium,Argument,POS
동무;들;따르,NEG,Medium,Argument,POS
동물;을;생각,NEUT,Medium,Argument,POS
동아리;한;마당,POS,Medium,Argument,POS
동안;오른;손목,POS,Low,Argument,POS
동안;이;세상,NEG,High,Argument,POS
동안;태극기;를,NEG,Medium,Argument,POS
동의;를;얻,POS,Low,Judgment,POS
동작;의;속도,POS,Medium,Judgment,POS
동포;사랑;은,POS,Medium,Judgment,POS
되는;시;기,NEG,Medium,Argument,POS
되;리란;생각,POS,High,Argument,POS
되;면모;든,POS,High,Judgment,POS
됩;시;다,POS,Medium,Argument,POS
되;잖;아요,POS,Low,Argument,POS
되;지;않,NEG,Medium,Judgment,NEG
되;고;있,NEG,High,Judgment,NEUT
되는;지;여부,NEG,Medium,Judgment,NEG
되;도록;쉽,POS,Medium,Argument,POS
되찾;아;가,POS,Medium,Judgment,POS
두;곡;이,NEG,Medium,Argument,POS
두;배;로,NEG,Medium,Judgment,NEG
두;번;이상,NEUT,Medium,Argument,POS
두렵;었;습니다,NEG,Medium,Argument,POS
두르;고;있,POS,Low,Argument,POS
둔;갑;하,NEG,Low,Judgment,NEG
둘;로;보이,NEUT,Medium,Argument,POS
둘;러;대,NEG,Medium,Argument,POS
뒤;에;별도,POS,Medium,Argument,POS
뒤;에;숨,POS,Medium,Judgment,POS
뒤;에서;돕,NEG,Low,Argument,POS
뒤;섞인;기색,COMP,Low,Emotion,COMP
뒤;흔들;지,NEG,Medium,Argument,POS
뒷받침;되;지,NEG,High,Judgment,NEG
뒷받침;이;없,NEG,Medium,Judgment,NEG
드물어;서;그동안,POS,Medium,Judgment,POS
든;좋;아서,POS,Medium,Argument,POS
든지;머리;가,NEUT,Medium,Argument,POS
든지;현실;화,NEG,High,Judgment,NEG
들;거나;의식,NEUT,Medium,Argument,POS
들;고;있,POS,Medium,Argument,POS
들;던;생활,NEG,Low,Argument,POS
들어;야;하,NEG,Medium,Argument,POS
들;지;않,POS,Low,Argument,POS
들;지;만이,POS,Medium,Argument,POS
들;과;공식,NEG,Medium,Judgment,NEG
들;그러;어,POS,Medium,Argument,POS
들;기능;을,POS,Medium,Judgment,POS
들;까지;참여,POS,Medium,Judgment,POS
들;도;여성,NEG,Medium,Argument,POS
들;따르;아,NEG,Medium,Argument,POS
들;로;점점,NEG,Medium,Argument,POS
들보;다;더,POS,High,Judgment,POS
들보;다;오히려,POS,Medium,Judgment,POS
들;사이;에,NEG,Medium,Argument,POS
들;상상;의,POS,Medium,Judgment,POS
들;앞;에서,NEG,Medium,Argument,POS
들;에;대하,POS,Medium,Judgment,POS
들;에게;들리,POS,Medium,Judgment,POS
들;에게;먹,POS,Low,Judgment,POS
들;에게;소개,POS,Medium,Argument,POS
들;에게;적극,POS,Medium,Judgment,POS
들;은;무슨,NEUT,Low,Argument,POS
들;을기;냥,NEG,Medium,Argument,POS
들;을;나누,POS,Medium,Argument,POS
들;을;믿,NEG,Medium,Judgment,NEG
들;을;수없이,POS,Low,Judgment,POS
들;의;곁,POS,Medium,Argument,POS
들;의;박수,POS,Medium,Judgment,POS
들;의;사용,NEG,Medium,Judgment,NEG
들;의;색깔,POS,Medium,Judgment,POS
들;의;신기,POS,Medium,Judgment,POS
들;의;즐겁,POS,Medium,Judgment,POS
들;의;지갑,POS,Medium,Judgment,POS
들;의;집단,NEG,Medium,Judgment,NEG
들;의;책임자,NEUT,Low,Argument,POS
들;의회;화,POS,Low,Judgment,POS
들이;아;이,NEG,Medium,Argument,POS
들이;주;로,NEG,Low,Argument,POS
들;처지;에서,NEG,Medium,Argument,POS
들;투성이;이,NEUT,Medium,Argument,POS
들썩;거리;게,NEG,Medium,Judgment,NEG
들이;고;걷,NEG,Medium,Judgment,NEG
들;치;어,POS,High,Judgment,POS
들;치;어업,POS,High,Judgment,POS
듯;녹음;하,POS,Medium,Judgment,POS
듯;배우;들,POS,Medium,Judgment,POS
등;기획;물,NEG,Medium,Argument,POS
등불;순;분자,NEG,Medium,Judgment,NEG
등;사람;들,POS,Medium,Argument,POS
등;상;을,POS,Low,Judgment,POS
등;으로;확인,NEG,Medium,Argument,POS
등;을;단행,POS,Medium,Judgment,POS
등;을;아끼,POS,Medium,Judgment,POS
등;을;키우,POS,Low,Argument,POS
등;이;일어나,NEUT,Medium,Argument,POS
등급;분류;를,NEG,High,Agreement,NEG
등록;대수;가,POS,Low,Argument,POS
등산;인들;에게,POS,Medium,Judgment,POS
디자이너;일;을,NEUT,Low,Argument,POS
디테일;에;많이,NEUT,Low,Argument,POS
따로;식물;을,NEUT,Medium,Argument,POS
따르;아;스스로,POS,Medium,Argument,POS
따르;아;중국,POS,Low,Argument,POS
따르;지;않,NEG,Medium,Agreement,NEG
따리;어;하,NEG,High,Argument,POS
따위;는;없,NEG,Low,Others,POS
땀;을;흘리,NEG,High,Judgment,NEG
땅;과;하늘,NEG,Medium,Judgment,NEG
때;경보;도,POS,Medium,Judgment,POS
때;는;살,POS,Medium,Argument,POS
때;는;햇곡식,POS,Medium,Argument,POS
때;는;협심증,NEUT,Medium,Argument,POS
때;도;있,NEG,Low,Argument,POS
때;묻;고,NEG,Medium,Argument,POS
때;여성;의,NEUT,Low,Argument,POS
때;와;크,NEG,Low,Judgment,NEG
때;절대로;다른,NEG,High,Argument,POS
때문;에;백화점,POS,Medium,Argument,POS
때문;에;주위,NEG,Medium,Judgment,NEG
떠난;다는;느낌,POS,Low,Argument,POS
떠나도;록;촉구,COMP,Medium,Argument,POS
떠나;았;네,NEG,Medium,Argument,POS
떠오르;게;하,POS,Medium,Judgment,POS
떡;과;한과,POS,Medium,Argument,POS
떡;을;만들,POS,Medium,Argument,POS
떨거;나;목소리,POS,Medium,Judgment,POS
떨어지;지;않,POS,High,Judgment,POS
떨;치;어,NEG,Medium,Judgment,NEG
떼;어;놓,NEUT,Medium,Argument,POS
또;눈물;이,NEG,Medium,Argument,POS
또;다른;이름,NEG,Medium,Argument,POS
또;다른;재미,POS,Medium,Judgment,POS
또는;공짜;로,POS,Medium,Judgment,POS
똑같;은;식민,NEG,Medium,Argument,POS
뚫고;나;가,POS,Medium,Intention,POS
뜨겁;어;지,NEUT,Medium,Judgment,POS
뜨겁;었;다,POS,Medium,Argument,POS
뜯어;볼;구석,POS,Medium,Judgment,POS
뜻;을;담,POS,Medium,Intention,POS
뜻;을;밝히,POS,Medium,Intention,POS
라고;꾸준히;문제,NEG,Medium,Argument,POS
라고;단정;하,POS,Medium,Judgment,POS
라고;말;하,POS,Medium,Argument,POS
라고;번복;하,NEG,High,Argument,POS
라;고생;각하,NEUT,Low,Argument,POS
라고;설명;하,NEUT,Medium,Argument,POS
라고;할;까,NEG,Low,Argument,POS
라는;것;이,NONE,None,Others,POS
라는;대로;나,NEG,Medium,Argument,POS
라는;말;이,NEG,Medium,Judgment,NEG
라는;생각;도,NEG,Low,Judgment,NEG
라는;생각;을,NONE,None,Others,POS
라는;식;으로,NONE,None,Others,POS
라는;이상;에,POS,Medium,Judgment,POS
라도;어리광;을,NEG,Medium,Argument,POS
라면;쉽;게,NEG,Medium,Argument,POS
란;우려;가,NEG,Medium,Argument,POS
랄;까;보,NEG,Low,Argument,POS
랄;까;보아,NEG,Low,Argument,POS
러;갑;시당,POS,Medium,Argument,POS
레크리에이션;이벤트;가,POS,Medium,Judgment,POS
려;는;왕실,NEG,Low,Judgment,NEG
려;는;움직임,POS,Medium,Judgment,POS
려;는;진심,POS,Medium,Intention,POS
려면;공부;를,NEG,Low,Argument,POS
로;가;장하,NEG,High,Judgment,NEG
로;국내;기반,POS,Medium,Argument,POS
로;글씨;를,NEG,Medium,Argument,POS
로;눈길;을,POS,Medium,Judgment,POS
로;둔갑;시키,NEG,Medium,Intention,POS
